1105022024446954311                                      ARQUIVOCAIXA1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000040201012022202224072792509                                                      Victor Czarnobay3112196900000000402                                                       Roberta Barbosa01001037.92060502202431122024000000000000000000009999106705CC72309530074051430000000
2100000000040301012022202208431558374                                                        Pedro Monteiro3112196900000000403                                                        Josefa Pereira01000211.73100502202431122024000000000000000000000000777893CC13390402766722220000000
2100000000040401012022202263677437813                                                          Alan Barbosa3112196900000000404                                                        Josefa Pereira01000385.21060502202431122024000000000000000000005555831393PP45245409344432610000000
2100000000040501012022202286221873329                                                        Josefa Pereira3112196900000000405                                                      Joana dos Santos01000428.61100502202431122024000000000000000000005555813574CC10899333144430310000000
2100000000040601012022202271947280512                                                        Maria da Silva3112196900000000406                                                       Roberta Barbosa01000338.37060502202431122024000000000000000000005555957279CD41452634744137610000000
2100000000040701012022202209253922663                                                       Carlos Fabrício3112196900000000407                                                        Josefa Pereira01000756.62110502202431122024000000000000000000000000791077CD09189598908007020000000
2100000000040801012022202279515872922                                                      Joana dos Santos3112196900000000408                                                        Maria da Silva01000036.33040502202431122024000000000000000000005555073932CD81520979521068620000000
2100000000040901012022202229079955097                                                        Maria da Silva3112196900000000409                                                        Maria da Silva01000099.66100502202431122024000000000000000000005555014040PP98138359009217110000000
2100000000041001012022202299224548471                                                      Joana dos Santos3112196900000000410                                                        Josefa Pereira01000817.17100502202431122024000000000000000000009999671705PP37635748710659020000000
2100000000041101012022202248064360648                                                          Alan Barbosa3112196900000000411                                                        Maria da Silva01000502.52010502202431122024000000000000000000000000331958CC22932528884671930000000
2100000000041201012022202269604583478                                                       Roberta Barbosa3112196900000000412                                                      Joana dos Santos01000820.15010502202431122024000000000000000000009999148876PP04328654686221410000000
2100000000041301012022202288363393654                                                        Pedro Monteiro3112196900000000413                                                        Josefa Pereira01000710.65080502202431122024000000000000000000000000872527CC40414449256863910000000
2100000000041401012022202202358634156                                                      Joana dos Santos3112196900000000414                                                      Joana dos Santos01000788.60030502202431122024000000000000000000009999550692PP80542714899229420000000
2100000000041501012022202266948033831                                                      Joana dos Santos3112196900000000415                                                        Josefa Pereira01000942.31060502202431122024000000000000000000009999361638PP65811501538831230000000
2100000000041601012022202242789838827                                                        Pedro Monteiro3112196900000000416                                                      Joana dos Santos01000081.67060502202431122024000000000000000000005555349901PP83148196226046030000000
2100000000041701012022202260238994925                                                     Cristiano Ronaldo3112196900000000417                                                        Maria da Silva01000059.79040502202431122024000000000000000000009999054934PP76587955587219730000000
2100000000041801012022202253895936745                                                     Cristiano Ronaldo3112196900000000418                                                       Roberta Barbosa01000428.33010502202431122024000000000000000000005555089406PP96050208217841630000000
2100000000041901012022202233489533373                                                       Roberta Barbosa3112196900000000419                                                       Roberta Barbosa01000302.69100502202431122024000000000000000000009999949809CD10590362744997220000000
2100000000042001012022202252690035181                                                      Victor Czarnobay3112196900000000420                                                       Roberta Barbosa01001157.76010502202431122024000000000000000000009999088870CD83874575674676510000000
2100000000042101012022202204178978902                                                      Victor Czarnobay3112196900000000421                                                       Roberta Barbosa01000355.73050502202431122024000000000000000000005555735916PP98669161367030920000000
2100000000042201012022202207458879923                                                          Alan Barbosa3112196900000000422                                                      Joana dos Santos01001057.87030502202431122024000000000000000000009999740984CD22352089390619910000000
2100000000042301012022202240073050796                                                          Alan Barbosa3112196900000000423                                                        Maria da Silva01000338.75120502202431122024000000000000000000009999301921CC61706196828677010000000
2100000000042401012022202245165696772                                                       Roberta Barbosa3112196900000000424                                                       Roberta Barbosa01000709.72100502202431122024000000000000000000005555188232CC62704810081222030000000
2100000000042501012022202215348200521                                                        Maria da Silva3112196900000000425                                                      Joana dos Santos01000290.44090502202431122024000000000000000000000000228509CD44465785902759620000000
2100000000042601012022202229558787631                                                       Roberta Barbosa3112196900000000426                                                       Roberta Barbosa01001168.70090502202431122024000000000000000000005555671819CC33038324879697420000000
2100000000042701012022202239056388815                                                     Cristiano Ronaldo3112196900000000427                                                        Josefa Pereira01000490.56010502202431122024000000000000000000000000978057CC68447995894108720000000
2100000000042801012022202287130810526                                                      Victor Czarnobay3112196900000000428                                                        Maria da Silva01000028.97080502202431122024000000000000000000005555720724PP13913701932243320000000
2100000000042901012022202219966949369                                                     Cristiano Ronaldo3112196900000000429                                                        Josefa Pereira01000680.54020502202431122024000000000000000000005555351347CD93916040349325430000000
2100000000043001012022202235441319329                                                     Cristiano Ronaldo3112196900000000430                                                        Josefa Pereira01001100.61030502202431122024000000000000000000000000591393CC98162852945444710000000
2100000000043101012022202250401666568                                                     Cristiano Ronaldo3112196900000000431                                                        Maria da Silva01000255.65040502202431122024000000000000000000000000111622PP65843855369522130000000
2100000000043201012022202266018850051                                                       Carlos Fabrício3112196900000000432                                                        Josefa Pereira01000784.68090502202431122024000000000000000000009999092290CC25888876386923530000000
2100000000043301012022202293143957200                                                      Victor Czarnobay3112196900000000433                                                      Joana dos Santos01000064.36120502202431122024000000000000000000005555042283CD36395686857072630000000
2100000000043401012022202282996071266                                                        Pedro Monteiro3112196900000000434                                                        Maria da Silva01000350.75070502202431122024000000000000000000000000643539PP54518379003433710000000
2100000000043501012022202211952548025                                                          Alan Barbosa3112196900000000435                                                        Maria da Silva01000383.30010502202431122024000000000000000000005555614856PP05627106890624420000000
2100000000043601012022202233498847268                                                      Victor Czarnobay3112196900000000436                                                      Joana dos Santos01001175.08050502202431122024000000000000000000005555995886CD40871811567402930000000
2100000000043701012022202209334596333                                                        Pedro Monteiro3112196900000000437                                                      Joana dos Santos01000002.25100502202431122024000000000000000000000000702385PP77828154243846720000000
2100000000043801012022202213832603969                                                          Alan Barbosa3112196900000000438                                                        Josefa Pereira01000567.20090502202431122024000000000000000000005555196110CC18477219340453410000000
2100000000043901012022202287815152242                                                        Pedro Monteiro3112196900000000439                                                       Roberta Barbosa01000428.90090502202431122024000000000000000000009999123111CC86678657821072910000000
2100000000044001012022202248463369981                                                     Cristiano Ronaldo3112196900000000440                                                       Roberta Barbosa01000218.14040502202431122024000000000000000000005555459134CD25171410891499730000000
2100000000044101012022202291208458028                                                      Joana dos Santos3112196900000000441                                                       Roberta Barbosa01001139.97110502202431122024000000000000000000005555567766CC03645533447299630000000
2100000000044201012022202279989516889                                                          Alan Barbosa3112196900000000442                                                        Josefa Pereira01000839.24110502202431122024000000000000000000005555628954CD45102712712826110000000
2100000000044301012022202207491940053                                                        Pedro Monteiro3112196900000000443                                                        Josefa Pereira01001205.45090502202431122024000000000000000000000000007306PP30064614942522430000000
2100000000044401012022202210524074018                                                       Roberta Barbosa3112196900000000444                                                        Maria da Silva01000027.45120502202431122024000000000000000000005555158318CD34989441284799030000000
2100000000044501012022202200312077866                                                      Joana dos Santos3112196900000000445                                                       Roberta Barbosa01000035.50090502202431122024000000000000000000005555141970PP48062881224675730000000
2100000000044601012022202284344034944                                                          Alan Barbosa3112196900000000446                                                        Maria da Silva01000593.46050502202431122024000000000000000000000000208917CC04519676035634610000000
2100000000044701012022202283284728981                                                       Carlos Fabrício3112196900000000447                                                        Maria da Silva01000153.61040502202431122024000000000000000000005555206209PP83029364250165410000000
2100000000044801012022202215671959194                                                        Pedro Monteiro3112196900000000448                                                       Roberta Barbosa01000141.20100502202431122024000000000000000000005555034285PP49742633103453120000000
2100000000044901012022202231810645773                                                      Victor Czarnobay3112196900000000449                                                       Roberta Barbosa01000147.07060502202431122024000000000000000000005555058722PP49426645764047630000000
2100000000045001012022202272156710660                                                          Alan Barbosa3112196900000000450                                                      Joana dos Santos01000238.07060502202431122024000000000000000000005555010592PP07894596734689720000000
2100000000045101012022202231748367313                                                     Cristiano Ronaldo3112196900000000451                                                       Roberta Barbosa01000518.40010502202431122024000000000000000000005555171808CD45224149142257030000000
2100000000045201012022202259652900366                                                        Josefa Pereira3112196900000000452                                                        Maria da Silva01001153.73090502202431122024000000000000000000009999386416CC28523824125455810000000
2100000000045301012022202258828279813                                                        Pedro Monteiro3112196900000000453                                                        Josefa Pereira01000253.74120502202431122024000000000000000000000000145822CD25482089620153120000000
2100000000045401012022202276513904176                                                      Victor Czarnobay3112196900000000454                                                      Joana dos Santos01000082.82040502202431122024000000000000000000009999613550CC56851048445449730000000
2100000000045501012022202298752011330                                                      Victor Czarnobay3112196900000000455                                                        Josefa Pereira01000007.21070502202431122024000000000000000000005555699360PP59732616129710810000000
2100000000045601012022202252137252817                                                      Joana dos Santos3112196900000000456                                                      Joana dos Santos01001210.86100502202431122024000000000000000000005555491124CC75980397397386020000000
2100000000045701012022202212380778668                                                     Cristiano Ronaldo3112196900000000457                                                      Joana dos Santos01000944.40120502202431122024000000000000000000005555945904PP83398437006566830000000
2100000000045801012022202228762586770                                                        Pedro Monteiro3112196900000000458                                                        Maria da Silva01000154.85060502202431122024000000000000000000005555244368PP88628352426154920000000
2100000000045901012022202204925268579                                                       Roberta Barbosa3112196900000000459                                                        Maria da Silva01001044.28030502202431122024000000000000000000005555661981PP75895502613409830000000
2100000000046001012022202205259195390                                                        Pedro Monteiro3112196900000000460                                                        Maria da Silva01000914.34120502202431122024000000000000000000005555431457PP06050860222475020000000
2100000000046101012022202228190605013                                                       Carlos Fabrício3112196900000000461                                                        Josefa Pereira01000449.27090502202431122024000000000000000000009999730373CD07197028551704630000000
2100000000046201012022202273772285089                                                      Victor Czarnobay3112196900000000462                                                        Josefa Pereira01000321.38070502202431122024000000000000000000009999546887PP31378764332098120000000
2100000000046301012022202206205827247                                                        Pedro Monteiro3112196900000000463                                                      Joana dos Santos01000884.68080502202431122024000000000000000000000000292877PP19854377554822920000000
2100000000046401012022202248676520797                                                        Maria da Silva3112196900000000464                                                       Roberta Barbosa01000987.91080502202431122024000000000000000000000000746809PP82024352607803230000000
2100000000046501012022202242948562820                                                       Roberta Barbosa3112196900000000465                                                        Josefa Pereira01001180.53070502202431122024000000000000000000005555354947PP48957628475164810000000
2100000000046601012022202299979011629                                                          Alan Barbosa3112196900000000466                                                       Roberta Barbosa01000668.06010502202431122024000000000000000000009999558556PP22759063157949510000000
2100000000046701012022202206185489471                                                        Josefa Pereira3112196900000000467                                                      Joana dos Santos01001006.41120502202431122024000000000000000000005555990624CC35813368218146220000000
2100000000046801012022202264804916083                                                        Pedro Monteiro3112196900000000468                                                        Maria da Silva01000019.30070502202431122024000000000000000000005555630287CC38289832232470110000000
2100000000046901012022202265411752657                                                      Victor Czarnobay3112196900000000469                                                       Roberta Barbosa01000281.95020502202431122024000000000000000000000000383536PP58681992531713710000000
2100000000047001012022202266911636642                                                      Joana dos Santos3112196900000000470                                                      Joana dos Santos01000036.32120502202431122024000000000000000000000000567268CD64939403238348820000000
2100000000047101012022202271247686396                                                          Alan Barbosa3112196900000000471                                                        Maria da Silva01000528.84050502202431122024000000000000000000000000461788PP87237512312875030000000
2100000000047201012022202244405108049                                                       Carlos Fabrício3112196900000000472                                                        Josefa Pereira01000992.34090502202431122024000000000000000000000000816422CC96098096644109330000000
2100000000047301012022202251155684080                                                          Alan Barbosa3112196900000000473                                                       Roberta Barbosa01000329.72010502202431122024000000000000000000009999959992PP65268292899509330000000
2100000000047401012022202204225537835                                                      Joana dos Santos3112196900000000474                                                       Roberta Barbosa01000706.24100502202431122024000000000000000000005555410175CD35697833051818210000000
2100000000047501012022202259106694900                                                      Joana dos Santos3112196900000000475                                                      Joana dos Santos01001163.81120502202431122024000000000000000000005555490321CC08346976332199410000000
2100000000047601012022202251402110717                                                      Joana dos Santos3112196900000000476                                                        Maria da Silva01001142.57030502202431122024000000000000000000000000063489CC60402244521068020000000
2100000000047701012022202203182752389                                                     Cristiano Ronaldo3112196900000000477                                                        Maria da Silva01000191.73090502202431122024000000000000000000009999687810PP95293796363452030000000
2100000000047801012022202238500765228                                                      Joana dos Santos3112196900000000478                                                        Maria da Silva01000957.97020502202431122024000000000000000000005555185255PP35220131579732910000000
2100000000047901012022202211604042444                                                      Victor Czarnobay3112196900000000479                                                      Joana dos Santos01000657.07090502202431122024000000000000000000000000664656PP61797279489801910000000
2100000000048001012022202231238200727                                                          Alan Barbosa3112196900000000480                                                       Roberta Barbosa01000066.03080502202431122024000000000000000000000000740774PP32090937637278420000000
2100000000048101012022202250084176272                                                        Josefa Pereira3112196900000000481                                                        Maria da Silva01000944.67010502202431122024000000000000000000000000545302CC95714101469455510000000
2100000000048201012022202285774758833                                                       Roberta Barbosa3112196900000000482                                                       Roberta Barbosa01000858.15060502202431122024000000000000000000005555796623CC94313640951806010000000
2100000000048301012022202218131236368                                                      Victor Czarnobay3112196900000000483                                                        Josefa Pereira01000364.82040502202431122024000000000000000000005555299038CC94384682729607820000000
2100000000048401012022202247771009463                                                       Roberta Barbosa3112196900000000484                                                        Josefa Pereira01000909.33080502202431122024000000000000000000009999899420CD03328682300812720000000
2100000000048501012022202242798568538                                                      Victor Czarnobay3112196900000000485                                                        Josefa Pereira01000980.15050502202431122024000000000000000000000000291907CC82789627971772110000000
2100000000048601012022202250571902250                                                      Victor Czarnobay3112196900000000486                                                       Roberta Barbosa01000967.83110502202431122024000000000000000000000000601369CC02728042443060330000000
2100000000048701012022202283099371869                                                        Maria da Silva3112196900000000487                                                      Joana dos Santos01000384.07110502202431122024000000000000000000009999381500PP27619947098706120000000
2100000000048801012022202257841285115                                                      Victor Czarnobay3112196900000000488                                                       Roberta Barbosa01000292.30010502202431122024000000000000000000005555612251PP01090654470283720000000
2100000000048901012022202243757072341                                                      Joana dos Santos3112196900000000489                                                        Maria da Silva01000942.44030502202431122024000000000000000000005555336569PP98762263287631710000000
2100000000049001012022202240040207746                                                       Carlos Fabrício3112196900000000490                                                       Roberta Barbosa01000354.44070502202431122024000000000000000000005555744872CC11692858740821630000000
2100000000049101012022202207729605042                                                          Alan Barbosa3112196900000000491                                                       Roberta Barbosa01000543.94030502202431122024000000000000000000009999633517CC01279159585569020000000
2100000000049201012022202201672586022                                                     Cristiano Ronaldo3112196900000000492                                                        Maria da Silva01000153.20080502202431122024000000000000000000009999306783CC69975268518720010000000
2100000000049301012022202243866082826                                                       Roberta Barbosa3112196900000000493                                                        Josefa Pereira01000744.55080502202431122024000000000000000000005555734543CC86693033735557310000000
2100000000049401012022202238541382418                                                     Cristiano Ronaldo3112196900000000494                                                        Josefa Pereira01001086.99080502202431122024000000000000000000005555422690PP06008005261140610000000
2100000000049501012022202289641127556                                                        Maria da Silva3112196900000000495                                                        Maria da Silva01000594.88010502202431122024000000000000000000009999066800PP35581559945998710000000
2100000000049601012022202205269019364                                                        Maria da Silva3112196900000000496                                                      Joana dos Santos01000186.89050502202431122024000000000000000000005555304603CC66435717791506910000000
2100000000049701012022202204936193788                                                        Maria da Silva3112196900000000497                                                       Roberta Barbosa01000304.58030502202431122024000000000000000000005555545091CC39508439945639310000000
2100000000049801012022202268559163225                                                        Josefa Pereira3112196900000000498                                                        Josefa Pereira01000981.82120502202431122024000000000000000000000000411593PP89154838941970730000000
2100000000049901012022202292380511022                                                          Alan Barbosa3112196900000000499                                                      Joana dos Santos01001032.64080502202431122024000000000000000000000000371659PP78786117781401010000000
2100000000050001012022202293444766328                                                          Alan Barbosa3112196900000000500                                                      Joana dos Santos01000490.89080502202431122024000000000000000000000000537473CD83795939319363720000000
2100000000050101012022202239205021576                                                        Maria da Silva3112196900000000501                                                       Roberta Barbosa01000915.61100502202431122024000000000000000000009999768825CD27626920417164110000000
2100000000050201012022202299871569016                                                      Victor Czarnobay3112196900000000502                                                        Josefa Pereira01000369.49060502202431122024000000000000000000000000270501CC54448591585037920000000
2100000000050301012022202293135960441                                                          Alan Barbosa3112196900000000503                                                        Maria da Silva01000160.34070502202431122024000000000000000000005555781146CC75922063796746920000000
2100000000050401012022202288232784986                                                      Joana dos Santos3112196900000000504                                                        Josefa Pereira01000440.95120502202431122024000000000000000000005555276793PP20578476873017920000000
2100000000050501012022202240453938507                                                     Cristiano Ronaldo3112196900000000505                                                        Josefa Pereira01001080.73040502202431122024000000000000000000009999273754CC84285683122732310000000
2100000000050601012022202241864380917                                                        Pedro Monteiro3112196900000000506                                                      Joana dos Santos01000904.13030502202431122024000000000000000000000000442358PP03077325521649220000000
2100000000050701012022202244747933241                                                          Alan Barbosa3112196900000000507                                                        Josefa Pereira01000094.21070502202431122024000000000000000000009999908564PP05082630667777010000000
2100000000050801012022202282848046702                                                       Carlos Fabrício3112196900000000508                                                        Josefa Pereira01000123.03030502202431122024000000000000000000000000087930PP02576375153513420000000
2100000000050901012022202215727773852                                                       Carlos Fabrício3112196900000000509                                                       Roberta Barbosa01000119.88030502202431122024000000000000000000005555183562CC85304972824928230000000
2100000000051001012022202283697562938                                                        Josefa Pereira3112196900000000510                                                        Josefa Pereira01000691.87030502202431122024000000000000000000005555623100PP13268833974969020000000
2100000000051101012022202282683480844                                                       Roberta Barbosa3112196900000000511                                                        Josefa Pereira01000867.51010502202431122024000000000000000000000000817101PP04873944299440830000000
2100000000051201012022202272943260181                                                      Victor Czarnobay3112196900000000512                                                      Joana dos Santos01000339.69110502202431122024000000000000000000005555192342PP66569781409359320000000
2100000000051301012022202283106036708                                                      Joana dos Santos3112196900000000513                                                      Joana dos Santos01000628.29020502202431122024000000000000000000000000001674PP59000555868902730000000
2100000000051401012022202228815456551                                                      Joana dos Santos3112196900000000514                                                       Roberta Barbosa01000855.34120502202431122024000000000000000000000000233099CD90662035116118830000000
2100000000051501012022202234261297089                                                      Victor Czarnobay3112196900000000515                                                      Joana dos Santos01000259.41010502202431122024000000000000000000005555253066CC19865604284847710000000
2100000000051601012022202233839221933                                                       Roberta Barbosa3112196900000000516                                                        Josefa Pereira01000896.15030502202431122024000000000000000000005555020733CC43246366307063710000000
2100000000051701012022202226894370464                                                       Carlos Fabrício3112196900000000517                                                       Roberta Barbosa01000780.20100502202431122024000000000000000000009999166546PP69306445926872720000000
2100000000051801012022202232483378422                                                      Joana dos Santos3112196900000000518                                                        Maria da Silva01001003.51090502202431122024000000000000000000000000793650PP22513528290414720000000
2100000000051901012022202295461186684                                                     Cristiano Ronaldo3112196900000000519                                                       Roberta Barbosa01000550.41060502202431122024000000000000000000000000382995PP88165044411079510000000
2100000000052001012022202271442385330                                                          Alan Barbosa3112196900000000520                                                      Joana dos Santos01000652.34010502202431122024000000000000000000005555344552CC50675618556128710000000
2100000000052101012022202208847449487                                                       Carlos Fabrício3112196900000000521                                                      Joana dos Santos01000621.54020502202431122024000000000000000000009999049382CC06768585567125120000000
2100000000052201012022202287815472676                                                          Alan Barbosa3112196900000000522                                                      Joana dos Santos01000835.52050502202431122024000000000000000000009999203134CC01696830365557530000000
2100000000052301012022202255078643079                                                      Joana dos Santos3112196900000000523                                                       Roberta Barbosa01000889.69080502202431122024000000000000000000009999630217PP91594273844003620000000
2100000000052401012022202202519837430                                                       Carlos Fabrício3112196900000000524                                                       Roberta Barbosa01000306.33110502202431122024000000000000000000009999432745CD36561372319705430000000
2100000000052501012022202243295225352                                                       Roberta Barbosa3112196900000000525                                                        Josefa Pereira01001162.57050502202431122024000000000000000000005555310198PP36451600303475630000000
2100000000052601012022202243359601368                                                          Alan Barbosa3112196900000000526                                                        Maria da Silva01000550.53040502202431122024000000000000000000005555686160PP38865869915676010000000
2100000000052701012022202215064808942                                                      Joana dos Santos3112196900000000527                                                       Roberta Barbosa01000384.98080502202431122024000000000000000000000000236634CC81315786206021510000000
2100000000052801012022202218077519158                                                        Pedro Monteiro3112196900000000528                                                        Josefa Pereira01000744.30020502202431122024000000000000000000005555549003CC48757996874336620000000
2100000000052901012022202237640674878                                                        Pedro Monteiro3112196900000000529                                                        Maria da Silva01000364.91120502202431122024000000000000000000005555219941PP52837402417255230000000
2100000000053001012022202228238254346                                                       Carlos Fabrício3112196900000000530                                                       Roberta Barbosa01000841.53070502202431122024000000000000000000005555562676PP05381892625502620000000
2100000000053101012022202276443200649                                                      Joana dos Santos3112196900000000531                                                        Josefa Pereira01000333.79020502202431122024000000000000000000005555097216CD93053428652479010000000
2100000000053201012022202237274475824                                                        Maria da Silva3112196900000000532                                                       Roberta Barbosa01001005.49100502202431122024000000000000000000005555055877CD23311558608311820000000
2100000000053301012022202272925004599                                                        Pedro Monteiro3112196900000000533                                                      Joana dos Santos01000085.02070502202431122024000000000000000000000000891701PP93750693467519120000000
2100000000053401012022202213853741943                                                      Joana dos Santos3112196900000000534                                                        Maria da Silva01000086.82060502202431122024000000000000000000009999428485PP99273886309348120000000
2100000000053501012022202293406722425                                                        Josefa Pereira3112196900000000535                                                      Joana dos Santos01000023.32060502202431122024000000000000000000000000701785PP19881881900043620000000
2100000000053601012022202273840165349                                                          Alan Barbosa3112196900000000536                                                        Maria da Silva01000773.20050502202431122024000000000000000000005555890635PP86735894404265420000000
2100000000053701012022202296633958536                                                     Cristiano Ronaldo3112196900000000537                                                        Josefa Pereira01000805.39070502202431122024000000000000000000009999449093CC83838664741932220000000
2100000000053801012022202270650087096                                                       Carlos Fabrício3112196900000000538                                                       Roberta Barbosa01001170.09020502202431122024000000000000000000000000839471CD88172695400972420000000
2100000000053901012022202221168143352                                                      Victor Czarnobay3112196900000000539                                                      Joana dos Santos01000886.11050502202431122024000000000000000000005555060384CC69920883087902020000000
2100000000054001012022202257061381825                                                      Joana dos Santos3112196900000000540                                                        Maria da Silva01000005.47090502202431122024000000000000000000005555166109CD35227736851831020000000
2100000000054101012022202225461330612                                                        Josefa Pereira3112196900000000541                                                      Joana dos Santos01001145.16020502202431122024000000000000000000005555792353PP65692189705011810000000
2100000000054201012022202269212849586                                                     Cristiano Ronaldo3112196900000000542                                                        Josefa Pereira01000212.26010502202431122024000000000000000000009999796514PP79730336403656120000000
2100000000054301012022202217666127031                                                      Joana dos Santos3112196900000000543                                                        Maria da Silva01000971.16080502202431122024000000000000000000005555623957CD84756381122284830000000
2100000000054401012022202205339602706                                                      Victor Czarnobay3112196900000000544                                                        Josefa Pereira01000429.04090502202431122024000000000000000000005555985790PP60878982016573320000000
2100000000054501012022202280922699532                                                     Cristiano Ronaldo3112196900000000545                                                      Joana dos Santos01000334.43100502202431122024000000000000000000000000261174PP97489577860964210000000
2100000000054601012022202294996130278                                                     Cristiano Ronaldo3112196900000000546                                                        Josefa Pereira01000773.21070502202431122024000000000000000000009999463910CC25816491889820430000000
2100000000054701012022202245180963959                                                     Cristiano Ronaldo3112196900000000547                                                        Maria da Silva01000073.94080502202431122024000000000000000000005555722987PP24804083985590810000000
2100000000054801012022202201647152819                                                       Carlos Fabrício3112196900000000548                                                        Josefa Pereira01000949.19040502202431122024000000000000000000000000617527CC74942577029904220000000
2100000000054901012022202211355073509                                                     Cristiano Ronaldo3112196900000000549                                                        Maria da Silva01000577.91120502202431122024000000000000000000005555311898PP62072005587139710000000
2100000000055001012022202276440644548                                                      Joana dos Santos3112196900000000550                                                       Roberta Barbosa01000363.09030502202431122024000000000000000000009999986307PP33759444734500610000000
2100000000055101012022202285312266970                                                        Maria da Silva3112196900000000551                                                      Joana dos Santos01000487.96040502202431122024000000000000000000009999194366PP08395416231026720000000
2100000000055201012022202274965463163                                                          Alan Barbosa3112196900000000552                                                       Roberta Barbosa01000491.87080502202431122024000000000000000000000000090164CD46856851514649820000000
2100000000055301012022202268726857361                                                       Roberta Barbosa3112196900000000553                                                      Joana dos Santos01001059.31040502202431122024000000000000000000005555866035CD09873404842844020000000
2100000000055401012022202281944182924                                                       Roberta Barbosa3112196900000000554                                                       Roberta Barbosa01000504.91100502202431122024000000000000000000005555178177PP00839940884572120000000
2100000000055501012022202224844143531                                                          Alan Barbosa3112196900000000555                                                      Joana dos Santos01001165.03030502202431122024000000000000000000009999346636CC69318354967529320000000
2100000000055601012022202277794590438                                                        Josefa Pereira3112196900000000556                                                       Roberta Barbosa01000838.87100502202431122024000000000000000000000000784451PP91048659087643830000000
2100000000055701012022202248026499738                                                          Alan Barbosa3112196900000000557                                                        Maria da Silva01000032.90030502202431122024000000000000000000005555617089CC26281760872918620000000
2100000000055801012022202227937341022                                                       Carlos Fabrício3112196900000000558                                                       Roberta Barbosa01000709.85120502202431122024000000000000000000005555240813CC73171423454711810000000
2100000000055901012022202209854353880                                                       Roberta Barbosa3112196900000000559                                                      Joana dos Santos01001090.25100502202431122024000000000000000000000000452774PP68062756987354310000000
2100000000056001012022202299456257864                                                        Maria da Silva3112196900000000560                                                      Joana dos Santos01000847.13080502202431122024000000000000000000009999813651PP37664739273319330000000
2100000000056101012022202215481043204                                                        Pedro Monteiro3112196900000000561                                                       Roberta Barbosa01000874.71060502202431122024000000000000000000000000301508CC11963840735970920000000
2100000000056201012022202253350780606                                                        Josefa Pereira3112196900000000562                                                        Maria da Silva01001031.15080502202431122024000000000000000000009999648232CD89440973214249610000000
