1106022024446954311ARQUIVOCAIXA                                      1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000058301012022202290807183099Joana dos Santos                                                      3112196900000000583Joana dos Santos                                                      01000082.15090502202431122024000000000000000000009999142819CC77500893082255120000000
2100000000058401012022202211788616965Roberta Barbosa                                                       3112196900000000584Josefa Pereira                                                        01000465.17110502202431122024000000000000000000000000740738CC31905313785957810000000
2100000000058501012022202249207228530Cristiano Ronaldo                                                     3112196900000000585Joana dos Santos                                                      01000162.07060502202431122024000000000000000000005555980597PP78449502845400520000000
2100000000058601012022202218727224367Maria da Silva                                                        3112196900000000586Joana dos Santos                                                      01000678.51060502202431122024000000000000000000005555548325CC41211639915914120000000
2100000000058701012022202215773044711Josefa Pereira                                                        3112196900000000587Josefa Pereira                                                        01000756.07010502202431122024000000000000000000005555102350PP82264751160967410000000
2100000000058801012022202271654421403Victor Czarnobay                                                      3112196900000000588Roberta Barbosa                                                       01000072.66070502202431122024000000000000000000005555305018PP64717899748242610000000
2100000000058901012022202280754997824Pedro Monteiro                                                        3112196900000000589Maria da Silva                                                        01000028.72030502202431122024000000000000000000000000075749PP04316933216656310000000
2100000000059001012022202216844274698Cristiano Ronaldo                                                     3112196900000000590Josefa Pereira                                                        01000022.45060502202431122024000000000000000000005555669141PP16133257910542720000000
2100000000059101012022202208177427703Josefa Pereira                                                        3112196900000000591Maria da Silva                                                        01000286.45050502202431122024000000000000000000005555015009PP38848359707302420000000
2100000000059201012022202278064729536Roberta Barbosa                                                       3112196900000000592Josefa Pereira                                                        01000836.56080502202431122024000000000000000000005555582811CD71962810553016330000000
2100000000059301012022202252059151287Cristiano Ronaldo                                                     3112196900000000593Maria da Silva                                                        01000103.63010502202431122024000000000000000000009999593420CC48911051009780220000000
2100000000059401012022202298133653856Joana dos Santos                                                      3112196900000000594Joana dos Santos                                                      01000688.25060502202431122024000000000000000000005555423390CC71794303782810220000000
2100000000059501012022202236970937197Carlos Fabrício                                                       3112196900000000595Maria da Silva                                                        01000644.71120502202431122024000000000000000000005555674176CD90038984125139130000000
2100000000059601012022202259869890272Maria da Silva                                                        3112196900000000596Roberta Barbosa                                                       01000125.46120502202431122024000000000000000000000000380395PP44857253868158210000000
2100000000059701012022202206178989220Alan Barbosa                                                          3112196900000000597Joana dos Santos                                                      01001166.26080502202431122024000000000000000000000000396895CD83416619394105620000000
2100000000059801012022202297212434550Roberta Barbosa                                                       3112196900000000598Josefa Pereira                                                        01000826.83060502202431122024000000000000000000005555403821CD61142334487947920000000
2100000000059901012022202209123113791Pedro Monteiro                                                        3112196900000000599Josefa Pereira                                                        01000446.19040502202431122024000000000000000000005555612203CC67312274279739520000000
2100000000060001012022202208716658401Cristiano Ronaldo                                                     3112196900000000600Joana dos Santos                                                      01000831.39060502202431122024000000000000000000000000861027CD54860544844792020000000
2100000000060101012022202288897135380Joana dos Santos                                                      3112196900000000601Roberta Barbosa                                                       01000747.07010502202431122024000000000000000000005555546904CD25614772902881310000000
2100000000060201012022202236310657506Roberta Barbosa                                                       3112196900000000602Josefa Pereira                                                        01000386.42020502202431122024000000000000000000000000144046CC32898723484943620000000
2100000000060301012022202264837733682Cristiano Ronaldo                                                     3112196900000000603Joana dos Santos                                                      01000886.66010502202431122024000000000000000000005555309870CC66675757138368830000000
2100000000060401012022202297432474573Joana dos Santos                                                      3112196900000000604Josefa Pereira                                                        01001211.66060502202431122024000000000000000000005555628175CD63503871807675530000000
2100000000060501012022202263995471040Roberta Barbosa                                                       3112196900000000605Roberta Barbosa                                                       01000254.98100502202431122024000000000000000000009999460098CD04154610651426220000000
2100000000060601012022202230015153718Josefa Pereira                                                        3112196900000000606Josefa Pereira                                                        01000466.10060502202431122024000000000000000000009999539789PP72555256624954910000000
2100000000060701012022202297069145196Pedro Monteiro                                                        3112196900000000607Maria da Silva                                                        01000581.29090502202431122024000000000000000000005555754608PP85254466878186110000000
2100000000060801012022202202861507749Cristiano Ronaldo                                                     3112196900000000608Maria da Silva                                                        01001059.11020502202431122024000000000000000000005555912784CC24347190096804330000000
2100000000060901012022202299980189485Alan Barbosa                                                          3112196900000000609Josefa Pereira                                                        01000303.78080502202431122024000000000000000000005555122620CC43696095784118120000000
2100000000061001012022202291383184842Cristiano Ronaldo                                                     3112196900000000610Joana dos Santos                                                      01000579.45120502202431122024000000000000000000009999978340PP60770131737991110000000
2100000000061101012022202212619693573Pedro Monteiro                                                        3112196900000000611Joana dos Santos                                                      01000889.99110502202431122024000000000000000000000000202907PP94854857125134720000000
2100000000061201012022202276133853579Pedro Monteiro                                                        3112196900000000612Josefa Pereira                                                        01000297.39050502202431122024000000000000000000000000410093PP34194083902744910000000
2100000000061301012022202200568214696Cristiano Ronaldo                                                     3112196900000000613Roberta Barbosa                                                       01000647.51100502202431122024000000000000000000005555602862CD11561502860160530000000
2100000000061401012022202249250451580Carlos Fabrício                                                       3112196900000000614Josefa Pereira                                                        01000779.16100502202431122024000000000000000000005555848101CD42451288808781920000000
2100000000061501012022202290327355231Carlos Fabrício                                                       3112196900000000615Roberta Barbosa                                                       01000591.97110502202431122024000000000000000000000000933454PP37104583320040520000000
2100000000061601012022202298578601093Roberta Barbosa                                                       3112196900000000616Roberta Barbosa                                                       01000864.40010502202431122024000000000000000000000000788974CD38076607947349810000000
2100000000061701012022202222704291239Maria da Silva                                                        3112196900000000617Roberta Barbosa                                                       01000118.31100502202431122024000000000000000000005555987525PP18483784280406710000000
2100000000061801012022202249519702446Pedro Monteiro                                                        3112196900000000618Maria da Silva                                                        01000632.70010502202431122024000000000000000000005555331065PP94600420742428320000000
2100000000061901012022202213896147301Victor Czarnobay                                                      3112196900000000619Josefa Pereira                                                        01000401.53090502202431122024000000000000000000005555437411CC41919390858601820000000
2100000000062001012022202270612017020Roberta Barbosa                                                       3112196900000000620Josefa Pereira                                                        01001088.20060502202431122024000000000000000000009999156814PP35244874621621710000000
2100000000062101012022202261893952778Cristiano Ronaldo                                                     3112196900000000621Maria da Silva                                                        01000106.09010502202431122024000000000000000000005555170889PP67032522715504310000000
2100000000062201012022202237576607045Joana dos Santos                                                      3112196900000000622Maria da Silva                                                        01000865.58110502202431122024000000000000000000009999214948CD61851465398692020000000
2100000000062301012022202277217395425Victor Czarnobay                                                      3112196900000000623Josefa Pereira                                                        01000511.65120502202431122024000000000000000000000000620733PP28909714323739720000000
2100000000062401012022202213883076692Roberta Barbosa                                                       3112196900000000624Josefa Pereira                                                        01000866.99100502202431122024000000000000000000000000045391CD98122396422212210000000
2100000000062501012022202247935313591Alan Barbosa                                                          3112196900000000625Josefa Pereira                                                        01000017.79060502202431122024000000000000000000005555706481PP29945665610491420000000
2100000000062601012022202215162756091Cristiano Ronaldo                                                     3112196900000000626Josefa Pereira                                                        01000425.69100502202431122024000000000000000000009999761421CC20566422384433030000000
2100000000062701012022202292635813658Maria da Silva                                                        3112196900000000627Josefa Pereira                                                        01000537.63050502202431122024000000000000000000009999451326CC23283421271437930000000
2100000000062801012022202268032049160Alan Barbosa                                                          3112196900000000628Roberta Barbosa                                                       01000104.82100502202431122024000000000000000000000000154691CD64935062587095730000000
2100000000062901012022202284791133824Carlos Fabrício                                                       3112196900000000629Josefa Pereira                                                        01000386.97100502202431122024000000000000000000005555520354PP01682514742985730000000
2100000000063001012022202267587379163Alan Barbosa                                                          3112196900000000630Josefa Pereira                                                        01000969.05010502202431122024000000000000000000009999963772PP34447827701077810000000
2100000000063101012022202284648477172Carlos Fabrício                                                       3112196900000000631Josefa Pereira                                                        01000625.16120502202431122024000000000000000000009999383343PP07281213604258730000000
2100000000063201012022202211968111548Roberta Barbosa                                                       3112196900000000632Josefa Pereira                                                        01000090.29020502202431122024000000000000000000000000304106CC33636724235188930000000
2100000000063301012022202234838737630Maria da Silva                                                        3112196900000000633Joana dos Santos                                                      01000776.08050502202431122024000000000000000000000000605567PP36040691736318130000000
2100000000063401012022202226385468042Joana dos Santos                                                      3112196900000000634Maria da Silva                                                        01000572.32110502202431122024000000000000000000009999828105CC28480874078458830000000
2100000000063501012022202206476668466Maria da Silva                                                        3112196900000000635Joana dos Santos                                                      01000056.43010502202431122024000000000000000000009999362255PP90943419664361030000000
2100000000063601012022202287600024470Carlos Fabrício                                                       3112196900000000636Josefa Pereira                                                        01000974.54090502202431122024000000000000000000009999921225CC98261825713698520000000
2100000000063701012022202247483814905Carlos Fabrício                                                       3112196900000000637Roberta Barbosa                                                       01000058.77090502202431122024000000000000000000005555584306PP42082687175040120000000
2100000000063801012022202270328511553Alan Barbosa                                                          3112196900000000638Roberta Barbosa                                                       01000787.29050502202431122024000000000000000000005555073655CC31979078706430620000000
2100000000063901012022202296403307527Roberta Barbosa                                                       3112196900000000639Maria da Silva                                                        01001017.53070502202431122024000000000000000000005555425781CD55095572915148120000000
2100000000064001012022202224232618245Victor Czarnobay                                                      3112196900000000640Josefa Pereira                                                        01000352.89030502202431122024000000000000000000005555973856CC25219354960476330000000
2100000000064101012022202268565008097Cristiano Ronaldo                                                     3112196900000000641Roberta Barbosa                                                       01000538.45010502202431122024000000000000000000009999864807PP13136778892748920000000
2100000000064201012022202224907413179Alan Barbosa                                                          3112196900000000642Roberta Barbosa                                                       01000069.55010502202431122024000000000000000000000000708735PP71552016277836510000000
2100000000064301012022202269750917883Roberta Barbosa                                                       3112196900000000643Roberta Barbosa                                                       01000507.29010502202431122024000000000000000000000000825493CD83971021554483020000000
2100000000064401012022202220171077746Victor Czarnobay                                                      3112196900000000644Joana dos Santos                                                      01001102.62030502202431122024000000000000000000005555520665CC56008292656043330000000
2100000000064501012022202276147402754Cristiano Ronaldo                                                     3112196900000000645Joana dos Santos                                                      01000068.39100502202431122024000000000000000000000000115119CC42359265155723830000000
2100000000064601012022202205781420959Roberta Barbosa                                                       3112196900000000646Roberta Barbosa                                                       01000188.63050502202431122024000000000000000000005555847543PP64731814424297210000000
2100000000064701012022202271114078746Pedro Monteiro                                                        3112196900000000647Maria da Silva                                                        01001159.42120502202431122024000000000000000000009999331453CD26435146352528420000000
2100000000064801012022202246042019251Pedro Monteiro                                                        3112196900000000648Maria da Silva                                                        01000368.40030502202431122024000000000000000000005555811994CD80940292527196220000000
2100000000064901012022202287712492445Roberta Barbosa                                                       3112196900000000649Josefa Pereira                                                        01001123.05080502202431122024000000000000000000005555586642CC50286542604589130000000
2100000000065001012022202227556763841Alan Barbosa                                                          3112196900000000650Maria da Silva                                                        01000887.16060502202431122024000000000000000000005555719946PP17753031878617530000000
2100000000065101012022202202763618519Carlos Fabrício                                                       3112196900000000651Roberta Barbosa                                                       01000043.53100502202431122024000000000000000000005555492757PP83853202935264730000000
2100000000065201012022202212575979235Carlos Fabrício                                                       3112196900000000652Maria da Silva                                                        01000137.75110502202431122024000000000000000000009999153863PP30471725556714930000000
2100000000065301012022202266813747453Carlos Fabrício                                                       3112196900000000653Joana dos Santos                                                      01000656.64010502202431122024000000000000000000005555784320CD41706362335924530000000
2100000000065401012022202224192474749Cristiano Ronaldo                                                     3112196900000000654Joana dos Santos                                                      01001210.25120502202431122024000000000000000000000000032302PP52135638923399110000000
2100000000065501012022202293128464013Joana dos Santos                                                      3112196900000000655Maria da Silva                                                        01000542.89030502202431122024000000000000000000005555742844PP60289331956493530000000
2100000000065601012022202240354096246Victor Czarnobay                                                      3112196900000000656Joana dos Santos                                                      01000057.43050502202431122024000000000000000000009999455215CC92093651646634320000000
2100000000065701012022202294332848153Maria da Silva                                                        3112196900000000657Maria da Silva                                                        01001138.42070502202431122024000000000000000000005555850920CC17552974735801130000000
2100000000065801012022202271333795649Josefa Pereira                                                        3112196900000000658Josefa Pereira                                                        01000331.23010502202431122024000000000000000000005555785898PP10764608680637530000000
2100000000065901012022202260172955376Carlos Fabrício                                                       3112196900000000659Joana dos Santos                                                      01000316.68050502202431122024000000000000000000005555316257PP99944605690652120000000
2100000000066001012022202296765359130Joana dos Santos                                                      3112196900000000660Joana dos Santos                                                      01000956.83110502202431122024000000000000000000000000031203CC51503764636558120000000
2100000000066101012022202244958115971Pedro Monteiro                                                        3112196900000000661Josefa Pereira                                                        01000398.23030502202431122024000000000000000000000000095667CD17254844456302630000000
2100000000066201012022202237379644591Cristiano Ronaldo                                                     3112196900000000662Maria da Silva                                                        01000861.75050502202431122024000000000000000000009999703356PP38600111378248730000000
2100000000066301012022202236915240842Maria da Silva                                                        3112196900000000663Josefa Pereira                                                        01000849.58050502202431122024000000000000000000000000061332PP31540384556608220000000
2100000000066401012022202231151709565Carlos Fabrício                                                       3112196900000000664Maria da Silva                                                        01000221.54100502202431122024000000000000000000000000968765PP53927272257057120000000
2100000000066501012022202211763802793Carlos Fabrício                                                       3112196900000000665Roberta Barbosa                                                       01000363.98120502202431122024000000000000000000000000524401PP78550504066945910000000
2100000000066601012022202248101743073Pedro Monteiro                                                        3112196900000000666Maria da Silva                                                        01000568.77010502202431122024000000000000000000005555560265CC05157920481805510000000
2100000000066701012022202251603812515Alan Barbosa                                                          3112196900000000667Joana dos Santos                                                      01001071.23120502202431122024000000000000000000005555079763CD75672191490687220000000
2100000000066801012022202287356700606Victor Czarnobay                                                      3112196900000000668Maria da Silva                                                        01000137.07030502202431122024000000000000000000005555843296CC59551574021454910000000
2100000000066901012022202201897898806Cristiano Ronaldo                                                     3112196900000000669Roberta Barbosa                                                       01001076.50030502202431122024000000000000000000000000740642CC94028400053682530000000
2100000000067001012022202273195837146Victor Czarnobay                                                      3112196900000000670Josefa Pereira                                                        01000008.61040502202431122024000000000000000000005555425462CC53404924139743420000000
2100000000067101012022202275932682338Pedro Monteiro                                                        3112196900000000671Maria da Silva                                                        01000429.29100502202431122024000000000000000000000000463639PP98839666919773210000000
2100000000067201012022202228273588013Carlos Fabrício                                                       3112196900000000672Josefa Pereira                                                        01000920.67080502202431122024000000000000000000009999245159CC63298647050766930000000
2100000000067301012022202271842569428Joana dos Santos                                                      3112196900000000673Maria da Silva                                                        01000460.39020502202431122024000000000000000000000000712065PP76582767995134930000000
2100000000067401012022202221116641031Carlos Fabrício                                                       3112196900000000674Josefa Pereira                                                        01000142.46100502202431122024000000000000000000005555434415CD35153169235284220000000
2100000000067501012022202278508268826Maria da Silva                                                        3112196900000000675Maria da Silva                                                        01000776.85080502202431122024000000000000000000009999826718CD87317379310549010000000
2100000000067601012022202258287866497Cristiano Ronaldo                                                     3112196900000000676Josefa Pereira                                                        01000526.70060502202431122024000000000000000000009999347259PP30921506859715430000000
2100000000067701012022202257363474933Victor Czarnobay                                                      3112196900000000677Joana dos Santos                                                      01000042.77090502202431122024000000000000000000005555092259PP86965555084565120000000
2100000000067801012022202225194410674Joana dos Santos                                                      3112196900000000678Maria da Silva                                                        01000759.94110502202431122024000000000000000000000000074706CD29066612708615220000000
2100000000067901012022202207938748301Cristiano Ronaldo                                                     3112196900000000679Roberta Barbosa                                                       01000352.87090502202431122024000000000000000000000000235729PP08943962797117720000000
2100000000068001012022202292273418134Joana dos Santos                                                      3112196900000000680Josefa Pereira                                                        01000592.53050502202431122024000000000000000000005555848883PP44782169473100530000000
2100000000068101012022202260609506860Alan Barbosa                                                          3112196900000000681Maria da Silva                                                        01000894.30090502202431122024000000000000000000005555498475CC66652251483323220000000
2100000000068201012022202273479632693Maria da Silva                                                        3112196900000000682Roberta Barbosa                                                       01000039.33090502202431122024000000000000000000005555793310CC25383842037411210000000
2100000000068301012022202230710372270Carlos Fabrício                                                       3112196900000000683Joana dos Santos                                                      01000734.28010502202431122024000000000000000000009999609750PP78403996171752310000000
2100000000068401012022202208987002268Joana dos Santos                                                      3112196900000000684Joana dos Santos                                                      01000222.50120502202431122024000000000000000000000000796567CC13388832342855720000000
2100000000068501012022202280322816491Josefa Pereira                                                        3112196900000000685Roberta Barbosa                                                       01000557.50040502202431122024000000000000000000000000987145PP22481976816131730000000
2100000000068601012022202203328473387Carlos Fabrício                                                       3112196900000000686Maria da Silva                                                        01000805.06080502202431122024000000000000000000000000283756PP20378581451853930000000
2100000000068701012022202203564095767Joana dos Santos                                                      3112196900000000687Maria da Silva                                                        01000785.65030502202431122024000000000000000000000000996698PP73699957558825120000000
2100000000068801012022202230318124755Cristiano Ronaldo                                                     3112196900000000688Maria da Silva                                                        01000371.90030502202431122024000000000000000000009999126420CC37482596310507630000000
2100000000068901012022202214594435944Pedro Monteiro                                                        3112196900000000689Roberta Barbosa                                                       01000242.71090502202431122024000000000000000000000000473192CD28760281387288010000000
2100000000069001012022202205290609592Maria da Silva                                                        3112196900000000690Joana dos Santos                                                      01000987.27030502202431122024000000000000000000005555977421CD28052601392037610000000
2100000000069101012022202270723375374Roberta Barbosa                                                       3112196900000000691Joana dos Santos                                                      01000713.76040502202431122024000000000000000000005555786918CC17839488352343820000000
2100000000069201012022202222096579497Pedro Monteiro                                                        3112196900000000692Josefa Pereira                                                        01000790.35060502202431122024000000000000000000005555781937CD30617190947131420000000
2100000000069301012022202273454586278Maria da Silva                                                        3112196900000000693Roberta Barbosa                                                       01000600.33070502202431122024000000000000000000000000733977PP76283668234851420000000
2100000000069401012022202264967916579Roberta Barbosa                                                       3112196900000000694Maria da Silva                                                        01000709.97040502202431122024000000000000000000009999591146PP34332103756149730000000
2100000000069501012022202228407773603Cristiano Ronaldo                                                     3112196900000000695Maria da Silva                                                        01000814.35040502202431122024000000000000000000005555022288PP59901559324178710000000
2100000000069601012022202231984415473Carlos Fabrício                                                       3112196900000000696Roberta Barbosa                                                       01000595.19050502202431122024000000000000000000000000464134CC75989455436550330000000
2100000000069701012022202203273721981Pedro Monteiro                                                        3112196900000000697Joana dos Santos                                                      01000892.14030502202431122024000000000000000000000000456914PP45826077852574330000000
2100000000069801012022202286367917024Joana dos Santos                                                      3112196900000000698Maria da Silva                                                        01001170.87110502202431122024000000000000000000009999943200CD20881453806847010000000
2100000000069901012022202235863053271Victor Czarnobay                                                      3112196900000000699Joana dos Santos                                                      01000769.79100502202431122024000000000000000000000000124266CD43542419107301730000000
2100000000070001012022202257042283991Roberta Barbosa                                                       3112196900000000700Joana dos Santos                                                      01001120.77100502202431122024000000000000000000005555081258PP50854175150278320000000
2100000000070101012022202233237486689Josefa Pereira                                                        3112196900000000701Joana dos Santos                                                      01000446.17010502202431122024000000000000000000009999127641PP60472289153948310000000
2100000000070201012022202203116250201Roberta Barbosa                                                       3112196900000000702Joana dos Santos                                                      01000836.20110502202431122024000000000000000000000000761328PP41894784395283110000000
2100000000070301012022202289123067944Joana dos Santos                                                      3112196900000000703Maria da Silva                                                        01000738.48060502202431122024000000000000000000005555579801PP08585503492895910000000
2100000000070401012022202261124633096Joana dos Santos                                                      3112196900000000704Joana dos Santos                                                      01000132.51010502202431122024000000000000000000005555079897CC33549176686473710000000
2100000000070501012022202262978163624Josefa Pereira                                                        3112196900000000705Josefa Pereira                                                        01000600.47050502202431122024000000000000000000009999580848CC03310310433799530000000
2100000000070601012022202201094447350Victor Czarnobay                                                      3112196900000000706Maria da Silva                                                        01000552.69100502202431122024000000000000000000005555844190PP12677851450492810000000
2100000000070701012022202283385040501Roberta Barbosa                                                       3112196900000000707Josefa Pereira                                                        01000930.28090502202431122024000000000000000000005555583236PP93017317269079510000000
2100000000070801012022202243471553428Roberta Barbosa                                                       3112196900000000708Maria da Silva                                                        01000685.10060502202431122024000000000000000000005555818621CC76804123124171830000000
2100000000070901012022202276806792817Pedro Monteiro                                                        3112196900000000709Roberta Barbosa                                                       01000340.15050502202431122024000000000000000000000000241992CD11523619235120120000000
2100000000071001012022202261463197493Victor Czarnobay                                                      3112196900000000710Roberta Barbosa                                                       01000953.22050502202431122024000000000000000000005555008486CC95552302501293110000000
2100000000071101012022202277829148574Pedro Monteiro                                                        3112196900000000711Maria da Silva                                                        01000323.61070502202431122024000000000000000000000000278176CD52448271971296220000000
2100000000071201012022202221604881129Josefa Pereira                                                        3112196900000000712Josefa Pereira                                                        01000960.30070502202431122024000000000000000000000000466586PP02515936296750910000000
2100000000071301012022202281903472105Joana dos Santos                                                      3112196900000000713Roberta Barbosa                                                       01000130.78060502202431122024000000000000000000009999530335CC08025320238288610000000
2100000000071401012022202246547671108Alan Barbosa                                                          3112196900000000714Joana dos Santos                                                      01000776.14030502202431122024000000000000000000005555969835PP21876932161405320000000
2100000000071501012022202299934505326Josefa Pereira                                                        3112196900000000715Joana dos Santos                                                      01001111.04010502202431122024000000000000000000009999487657CC10970169416075520000000
2100000000071601012022202237494170694Cristiano Ronaldo                                                     3112196900000000716Roberta Barbosa                                                       01001110.62070502202431122024000000000000000000000000078114PP86911942928440110000000
2100000000071701012022202215935130999Carlos Fabrício                                                       3112196900000000717Maria da Silva                                                        01000157.81040502202431122024000000000000000000005555457932CC06240012187084510000000
2100000000071801012022202273734309316Maria da Silva                                                        3112196900000000718Josefa Pereira                                                        01000078.73100502202431122024000000000000000000000000915974CD46832364787331120000000
2100000000071901012022202255997743496Carlos Fabrício                                                       3112196900000000719Maria da Silva                                                        01000402.03120502202431122024000000000000000000005555960131CD44646361710015720000000
2100000000072001012022202213381845893Cristiano Ronaldo                                                     3112196900000000720Maria da Silva                                                        01001134.23090502202431122024000000000000000000005555524752PP60793777762233530000000
2100000000072101012022202299816384480Alan Barbosa                                                          3112196900000000721Josefa Pereira                                                        01000714.34030502202431122024000000000000000000000000707066CD66096646235962210000000
2100000000072201012022202203341086918Josefa Pereira                                                        3112196900000000722Roberta Barbosa                                                       01000703.04080502202431122024000000000000000000000000133656PP65822623576628020000000
2100000000072301012022202237496256073Carlos Fabrício                                                       3112196900000000723Maria da Silva                                                        01001156.05120502202431122024000000000000000000005555071428CC42072972062008530000000
2100000000072401012022202269710873952Josefa Pereira                                                        3112196900000000724Maria da Silva                                                        01000917.94050502202431122024000000000000000000005555903736CC47225949655952030000000
2100000000072501012022202230737790084Josefa Pereira                                                        3112196900000000725Josefa Pereira                                                        01001020.60010502202431122024000000000000000000005555132646PP10411615921380530000000
2100000000072601012022202252125316920Roberta Barbosa                                                       3112196900000000726Joana dos Santos                                                      01000034.02010502202431122024000000000000000000005555413278CC99125008935139120000000
2100000000072701012022202235301276852Alan Barbosa                                                          3112196900000000727Joana dos Santos                                                      01000083.61040502202431122024000000000000000000009999508653CC78607363369250310000000
2100000000072801012022202205081084381Victor Czarnobay                                                      3112196900000000728Josefa Pereira                                                        01000547.99030502202431122024000000000000000000000000349847PP65345257254484210000000
2100000000072901012022202285369706423Maria da Silva                                                        3112196900000000729Roberta Barbosa                                                       01000310.92080502202431122024000000000000000000000000450661CC08734899401847710000000
2100000000073001012022202246309812179Josefa Pereira                                                        3112196900000000730Josefa Pereira                                                        01000182.91040502202431122024000000000000000000000000031090CD71010542180093020000000
2100000000073101012022202225009831189Carlos Fabrício                                                       3112196900000000731Joana dos Santos                                                      01000975.57060502202431122024000000000000000000005555934664CD95679831483985020000000
2100000000073201012022202268372068586Maria da Silva                                                        3112196900000000732Joana dos Santos                                                      01001211.78100502202431122024000000000000000000005555835443PP58379491224654910000000
2100000000073301012022202226619218027Roberta Barbosa                                                       3112196900000000733Roberta Barbosa                                                       01001187.57010502202431122024000000000000000000005555170026PP77247877141998020000000
2100000000073401012022202259059437730Victor Czarnobay                                                      3112196900000000734Roberta Barbosa                                                       01000715.33090502202431122024000000000000000000009999489849CC90913704885131030000000
2100000000073501012022202283295201005Pedro Monteiro                                                        3112196900000000735Roberta Barbosa                                                       01000338.98070502202431122024000000000000000000009999738958CC01511530612622130000000
2100000000073601012022202273894479509Josefa Pereira                                                        3112196900000000736Roberta Barbosa                                                       01000548.10090502202431122024000000000000000000005555122961PP12694840178860110000000
2100000000073701012022202244530298838Pedro Monteiro                                                        3112196900000000737Josefa Pereira                                                        01000624.17030502202431122024000000000000000000005555762077CD37188970796500410000000
2100000000073801012022202299374510961Josefa Pereira                                                        3112196900000000738Roberta Barbosa                                                       01000491.54080502202431122024000000000000000000005555762970CD57256860249122320000000
2100000000073901012022202268835103393Alan Barbosa                                                          3112196900000000739Maria da Silva                                                        01000994.58120502202431122024000000000000000000005555859705PP15502006303622310000000
2100000000074001012022202200388714796Joana dos Santos                                                      3112196900000000740Roberta Barbosa                                                       01000518.34050502202431122024000000000000000000000000324170PP25309080925118720000000
2100000000074101012022202271128564462Cristiano Ronaldo                                                     3112196900000000741Joana dos Santos                                                      01000900.01050502202431122024000000000000000000009999691887CC23493010718558530000000
2100000000074201012022202290748301209Josefa Pereira                                                        3112196900000000742Josefa Pereira                                                        01000591.49100502202431122024000000000000000000009999675636PP58756486624864930000000
2100000000074301012022202228440233793Josefa Pereira                                                        3112196900000000743Josefa Pereira                                                        01000079.00020502202431122024000000000000000000005555796268PP90416484152058530000000
