1106022024446954311                                      ARQUIVOCAIXA1234500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2100000000018501012022202247413088201                                                       Carlos Fabrício3112196900000000185                                                        Josefa Pereira01000328.48010502202431122024000000000000000000005555872329CC94185165846589110000000
2100000000018601012022202248667940181                                                        Pedro Monteiro3112196900000000186                                                        Maria da Silva01000425.67040502202431122024000000000000000000005555104159PP73023883320578820000000
2100000000018701012022202243604863933                                                        Maria da Silva3112196900000000187                                                      Joana dos Santos01000001.55120502202431122024000000000000000000000000139470CC60411078567100430000000
2100000000018801012022202277825517553                                                      Joana dos Santos3112196900000000188                                                      Joana dos Santos01000972.97010502202431122024000000000000000000000000399507CD18538723616943730000000
2100000000018901012022202234265125706                                                     Cristiano Ronaldo3112196900000000189                                                       Roberta Barbosa01000754.34020502202431122024000000000000000000005555449829CD43328415002251620000000
2100000000019001012022202279696124920                                                       Roberta Barbosa3112196900000000190                                                        Maria da Silva01000314.86060502202431122024000000000000000000005555849506PP42485202926899720000000
2100000000019101012022202215825717221                                                          Alan Barbosa3112196900000000191                                                       Roberta Barbosa01000445.93110502202431122024000000000000000000005555680042PP48658524414643810000000
2100000000019201012022202216385091304                                                       Carlos Fabrício3112196900000000192                                                        Josefa Pereira01000795.09010502202431122024000000000000000000005555711794CD98876721598463120000000
2100000000019301012022202282303818387                                                      Joana dos Santos3112196900000000193                                                      Joana dos Santos01000985.14080502202431122024000000000000000000009999441557CC72753673230209720000000
2100000000019401012022202272370054585                                                     Cristiano Ronaldo3112196900000000194                                                        Maria da Silva01000459.04090502202431122024000000000000000000005555694395PP37527629744388020000000
2100000000019501012022202215712752960                                                          Alan Barbosa3112196900000000195                                                       Roberta Barbosa01000498.72020502202431122024000000000000000000009999898832CC33530834059286630000000
2100000000019601012022202208011164431                                                        Pedro Monteiro3112196900000000196                                                       Roberta Barbosa01000171.48050502202431122024000000000000000000009999549988CC66591624858346710000000
2100000000019701012022202258304550091                                                        Josefa Pereira3112196900000000197                                                       Roberta Barbosa01000142.17100502202431122024000000000000000000005555626278CD24351596999808730000000
2100000000019801012022202251280121489                                                     Cristiano Ronaldo3112196900000000198                                                      Joana dos Santos01000611.15010502202431122024000000000000000000000000532335PP15555418084283910000000
2100000000019901012022202232424853531                                                          Alan Barbosa3112196900000000199                                                        Maria da Silva01000337.76120502202431122024000000000000000000005555807045CD06264968767292120000000
2100000000020001012022202287007296635                                                        Josefa Pereira3112196900000000200                                                        Josefa Pereira01000232.43040502202431122024000000000000000000009999533659CD57150169571476610000000
2100000000020101012022202291603369463                                                       Carlos Fabrício3112196900000000201                                                       Roberta Barbosa01000513.33060502202431122024000000000000000000005555982403CC67645487414581310000000
2100000000020201012022202279937789640                                                        Pedro Monteiro3112196900000000202                                                       Roberta Barbosa01001178.56090502202431122024000000000000000000005555650395PP03594535965858830000000
2100000000020301012022202223721960933                                                        Pedro Monteiro3112196900000000203                                                        Josefa Pereira01000594.84030502202431122024000000000000000000009999952448PP68399477437143430000000
2100000000020401012022202214714659054                                                       Carlos Fabrício3112196900000000204                                                       Roberta Barbosa01001165.09080502202431122024000000000000000000005555110323CC52990825319219730000000
2100000000020501012022202246944184574                                                        Josefa Pereira3112196900000000205                                                        Josefa Pereira01000014.19060502202431122024000000000000000000009999484440PP78517244704552830000000
2100000000020601012022202206744158118                                                        Maria da Silva3112196900000000206                                                       Roberta Barbosa01000301.24020502202431122024000000000000000000005555237670CD68892451011841420000000
2100000000020701012022202243188729032                                                      Joana dos Santos3112196900000000207                                                      Joana dos Santos01000820.61020502202431122024000000000000000000005555501479PP64461348981918230000000
2100000000020801012022202236139185853                                                       Carlos Fabrício3112196900000000208                                                      Joana dos Santos01000912.67120502202431122024000000000000000000005555243400CC94365545222175830000000
2100000000020901012022202271367568694                                                       Carlos Fabrício3112196900000000209                                                        Josefa Pereira01000617.99050502202431122024000000000000000000005555140781CC55904327657372530000000
2100000000021001012022202239976661291                                                        Josefa Pereira3112196900000000210                                                        Maria da Silva01000495.92030502202431122024000000000000000000000000822502PP12057808421656820000000
2100000000021101012022202249223284022                                                        Josefa Pereira3112196900000000211                                                      Joana dos Santos01001147.95010502202431122024000000000000000000005555735537CD37452449361397110000000
2100000000021201012022202223781879324                                                       Carlos Fabrício3112196900000000212                                                        Maria da Silva01000821.38110502202431122024000000000000000000000000211357CD42034256736956310000000
2100000000021301012022202258504768803                                                     Cristiano Ronaldo3112196900000000213                                                        Josefa Pereira01000825.24110502202431122024000000000000000000000000394081CC80860435288515610000000
2100000000021401012022202274247968310                                                        Maria da Silva3112196900000000214                                                        Josefa Pereira01000839.96020502202431122024000000000000000000000000884658PP03508696082242430000000
2100000000021501012022202276115989884                                                        Maria da Silva3112196900000000215                                                       Roberta Barbosa01001077.65110502202431122024000000000000000000000000837481CC94804786370308420000000
2100000000021601012022202250248281656                                                        Josefa Pereira3112196900000000216                                                       Roberta Barbosa01000967.62010502202431122024000000000000000000005555681233CC07710985306937420000000
2100000000021701012022202239441698646                                                        Pedro Monteiro3112196900000000217                                                       Roberta Barbosa01000983.43110502202431122024000000000000000000000000559974CD31187432964871910000000
2100000000021801012022202273911586763                                                          Alan Barbosa3112196900000000218                                                      Joana dos Santos01000380.42100502202431122024000000000000000000005555348630CD15146243827346120000000
2100000000021901012022202273000301852                                                          Alan Barbosa3112196900000000219                                                       Roberta Barbosa01000135.31040502202431122024000000000000000000000000136940CD13220718510495830000000
2100000000022001012022202278739633553                                                      Joana dos Santos3112196900000000220                                                       Roberta Barbosa01000451.36060502202431122024000000000000000000005555360852CC98925301661865720000000
2100000000022101012022202247074548518                                                     Cristiano Ronaldo3112196900000000221                                                        Josefa Pereira01000234.65060502202431122024000000000000000000005555384734PP30254459018329510000000
2100000000022201012022202211431489349                                                        Maria da Silva3112196900000000222                                                       Roberta Barbosa01000663.38100502202431122024000000000000000000009999674615CC26035270820674210000000
2100000000022301012022202278848559344                                                          Alan Barbosa3112196900000000223                                                        Maria da Silva01000573.17120502202431122024000000000000000000005555595607CD03430659086364130000000
2100000000022401012022202219133793882                                                     Cristiano Ronaldo3112196900000000224                                                      Joana dos Santos01000524.34040502202431122024000000000000000000009999764409PP00933876849595220000000
2100000000022501012022202271548057589                                                        Maria da Silva3112196900000000225                                                        Josefa Pereira01000401.31120502202431122024000000000000000000005555825118PP31319078290280610000000
2100000000022601012022202210915213173                                                        Pedro Monteiro3112196900000000226                                                        Josefa Pereira01000847.79060502202431122024000000000000000000000000394523PP10517321427894110000000
2100000000022701012022202299430310098                                                        Pedro Monteiro3112196900000000227                                                       Roberta Barbosa01000890.64060502202431122024000000000000000000000000774138PP93375197591875210000000
2100000000022801012022202281234688612                                                     Cristiano Ronaldo3112196900000000228                                                       Roberta Barbosa01001086.55120502202431122024000000000000000000000000134797PP35241674257960420000000
2100000000022901012022202293489451667                                                       Carlos Fabrício3112196900000000229                                                        Josefa Pereira01000306.60110502202431122024000000000000000000005555612474PP96591752198107810000000
2100000000023001012022202270008805934                                                        Pedro Monteiro3112196900000000230                                                        Maria da Silva01000018.70040502202431122024000000000000000000005555535903PP81974923645880130000000
2100000000023101012022202287165706933                                                       Carlos Fabrício3112196900000000231                                                        Maria da Silva01001145.81060502202431122024000000000000000000000000983502CC01187400667080010000000
2100000000023201012022202202231478143                                                       Roberta Barbosa3112196900000000232                                                        Josefa Pereira01000194.54050502202431122024000000000000000000000000858029PP49123710030682930000000
2100000000023301012022202277943580769                                                          Alan Barbosa3112196900000000233                                                        Maria da Silva01000251.76030502202431122024000000000000000000005555820751PP39671823080890510000000
2100000000023401012022202257245573661                                                      Joana dos Santos3112196900000000234                                                      Joana dos Santos01000133.77020502202431122024000000000000000000005555925274CC29909627808131510000000
2100000000023501012022202213197639925                                                       Roberta Barbosa3112196900000000235                                                        Maria da Silva01000188.26070502202431122024000000000000000000000000106874CD53186249726347330000000
2100000000023601012022202225129090957                                                      Victor Czarnobay3112196900000000236                                                      Joana dos Santos01000712.74030502202431122024000000000000000000000000549804CC66021250793569230000000
2100000000023701012022202206008500107                                                     Cristiano Ronaldo3112196900000000237                                                        Maria da Silva01000064.62010502202431122024000000000000000000009999235249PP14234144941221710000000
2100000000023801012022202255333061478                                                       Roberta Barbosa3112196900000000238                                                      Joana dos Santos01000545.06010502202431122024000000000000000000009999900535CC98859569545077520000000
2100000000023901012022202295889367877                                                        Maria da Silva3112196900000000239                                                       Roberta Barbosa01000841.04030502202431122024000000000000000000005555553004PP38586093789473610000000
2100000000024001012022202287857626892                                                        Pedro Monteiro3112196900000000240                                                       Roberta Barbosa01000532.37060502202431122024000000000000000000009999964563CC14541496821665730000000
2100000000024101012022202244360965560                                                       Carlos Fabrício3112196900000000241                                                        Maria da Silva01000883.17040502202431122024000000000000000000005555984983CC42084529552653920000000
2100000000024201012022202207880065114                                                        Maria da Silva3112196900000000242                                                       Roberta Barbosa01001118.73010502202431122024000000000000000000000000032252CC78661870231591420000000
2100000000024301012022202215499680470                                                        Pedro Monteiro3112196900000000243                                                        Maria da Silva01000777.51070502202431122024000000000000000000005555082613PP80968350900898420000000
2100000000024401012022202279863417512                                                      Victor Czarnobay3112196900000000244                                                        Maria da Silva01000784.12030502202431122024000000000000000000000000027628CC32178184518149930000000
2100000000024501012022202208159542348                                                          Alan Barbosa3112196900000000245                                                        Josefa Pereira01000192.92100502202431122024000000000000000000005555810607CD24808530920822830000000
2100000000024601012022202237995837231                                                        Pedro Monteiro3112196900000000246                                                      Joana dos Santos01000131.49010502202431122024000000000000000000000000329441PP56886628477865530000000
2100000000024701012022202228139247894                                                        Josefa Pereira3112196900000000247                                                      Joana dos Santos01000770.45090502202431122024000000000000000000000000877559PP89555110054494330000000
2100000000024801012022202258522895216                                                        Maria da Silva3112196900000000248                                                       Roberta Barbosa01001192.71060502202431122024000000000000000000005555799811CC18925298327723020000000
2100000000024901012022202219570304076                                                      Victor Czarnobay3112196900000000249                                                       Roberta Barbosa01000697.72090502202431122024000000000000000000005555782422CC43357411568145630000000
2100000000025001012022202250983070709                                                        Maria da Silva3112196900000000250                                                      Joana dos Santos01000668.72010502202431122024000000000000000000005555513473PP33867941431774810000000
2100000000025101012022202224566039368                                                      Victor Czarnobay3112196900000000251                                                      Joana dos Santos01000465.46020502202431122024000000000000000000000000230064PP79335621330297320000000
2100000000025201012022202245500326208                                                       Carlos Fabrício3112196900000000252                                                       Roberta Barbosa01000035.23020502202431122024000000000000000000000000713135CC78818551012295210000000
2100000000025301012022202264940187623                                                       Carlos Fabrício3112196900000000253                                                       Roberta Barbosa01000919.72020502202431122024000000000000000000005555454597PP50614445500945220000000
2100000000025401012022202223386699828                                                          Alan Barbosa3112196900000000254                                                       Roberta Barbosa01000391.36110502202431122024000000000000000000005555277849PP32863835534620220000000
2100000000025501012022202297783198714                                                     Cristiano Ronaldo3112196900000000255                                                      Joana dos Santos01000683.72100502202431122024000000000000000000005555125262PP65204274742503820000000
2100000000025601012022202246876622738                                                       Roberta Barbosa3112196900000000256                                                        Maria da Silva01000891.00110502202431122024000000000000000000005555049329CC92714074416375010000000
2100000000025701012022202271006139421                                                     Cristiano Ronaldo3112196900000000257                                                        Josefa Pereira01000198.49070502202431122024000000000000000000005555148937PP86982994769854410000000
2100000000025801012022202258101121230                                                        Pedro Monteiro3112196900000000258                                                        Maria da Silva01000947.74020502202431122024000000000000000000005555203455PP78389133198643120000000
2100000000025901012022202297563205962                                                      Joana dos Santos3112196900000000259                                                        Maria da Silva01001115.54060502202431122024000000000000000000009999867681CC50634714410631810000000
2100000000026001012022202274980958494                                                        Maria da Silva3112196900000000260                                                        Maria da Silva01000657.73120502202431122024000000000000000000005555558415PP59073670638343720000000
2100000000026101012022202284817474426                                                          Alan Barbosa3112196900000000261                                                       Roberta Barbosa01000826.32020502202431122024000000000000000000009999192568CC39285928150081520000000
2100000000026201012022202271967660445                                                        Pedro Monteiro3112196900000000262                                                        Josefa Pereira01000121.58060502202431122024000000000000000000000000232390PP01939611374675320000000
2100000000026301012022202239271322577                                                       Roberta Barbosa3112196900000000263                                                      Joana dos Santos01000852.50110502202431122024000000000000000000000000638557PP25130816470172120000000
2100000000026401012022202245770941442                                                       Roberta Barbosa3112196900000000264                                                       Roberta Barbosa01001043.90010502202431122024000000000000000000005555616096CC60343721414316420000000
2100000000026501012022202287028363150                                                          Alan Barbosa3112196900000000265                                                        Josefa Pereira01001040.93110502202431122024000000000000000000000000039526CC26229213210125610000000
2100000000026601012022202254855089756                                                      Victor Czarnobay3112196900000000266                                                        Maria da Silva01001180.74110502202431122024000000000000000000009999767515PP50991442205560930000000
2100000000026701012022202280390419514                                                       Roberta Barbosa3112196900000000267                                                        Josefa Pereira01000239.36090502202431122024000000000000000000000000018520CD71677100958923110000000
2100000000026801012022202219498379126                                                      Joana dos Santos3112196900000000268                                                        Josefa Pereira01000569.63040502202431122024000000000000000000000000230275PP48985333245685620000000
2100000000026901012022202243807052652                                                      Joana dos Santos3112196900000000269                                                        Josefa Pereira01000918.54080502202431122024000000000000000000000000779827PP33567705748561710000000
2100000000027001012022202291433132436                                                        Maria da Silva3112196900000000270                                                       Roberta Barbosa01000660.08010502202431122024000000000000000000009999886245CD55939158669615210000000
2100000000027101012022202261363622434                                                       Carlos Fabrício3112196900000000271                                                       Roberta Barbosa01000818.87010502202431122024000000000000000000000000781985CD96918938626254830000000
2100000000027201012022202298588341541                                                      Joana dos Santos3112196900000000272                                                      Joana dos Santos01000051.04040502202431122024000000000000000000009999940909PP29134760284669210000000
2100000000027301012022202261815013097                                                        Pedro Monteiro3112196900000000273                                                      Joana dos Santos01000982.79080502202431122024000000000000000000000000036911CC51444170863855920000000
2100000000027401012022202295705546579                                                       Roberta Barbosa3112196900000000274                                                        Josefa Pereira01000758.97020502202431122024000000000000000000009999409085PP25616944605330930000000
2100000000027501012022202236492885411                                                        Maria da Silva3112196900000000275                                                      Joana dos Santos01000784.05110502202431122024000000000000000000000000526666CC11393483647502930000000
2100000000027601012022202201937117303                                                        Maria da Silva3112196900000000276                                                        Maria da Silva01001046.63120502202431122024000000000000000000000000362555CD22294557907836320000000
2100000000027701012022202299759071707                                                      Victor Czarnobay3112196900000000277                                                      Joana dos Santos01001193.61100502202431122024000000000000000000000000016498PP88212790973964310000000
2100000000027801012022202239625590695                                                      Victor Czarnobay3112196900000000278                                                       Roberta Barbosa01001007.23040502202431122024000000000000000000005555548692CD50048842041469520000000
2100000000027901012022202287474387683                                                        Josefa Pereira3112196900000000279                                                       Roberta Barbosa01000266.04050502202431122024000000000000000000000000116578PP88693473691679120000000
2100000000028001012022202263658522949                                                        Maria da Silva3112196900000000280                                                      Joana dos Santos01001090.78120502202431122024000000000000000000000000782260CD27109879817475310000000
2100000000028101012022202288861793521                                                      Victor Czarnobay3112196900000000281                                                        Josefa Pereira01001058.88010502202431122024000000000000000000005555689131CD85839720945112020000000
2100000000028201012022202214736100577                                                       Roberta Barbosa3112196900000000282                                                       Roberta Barbosa01000121.80030502202431122024000000000000000000000000951051CC47875298183153310000000
2100000000028301012022202265255345164                                                     Cristiano Ronaldo3112196900000000283                                                        Maria da Silva01000984.20100502202431122024000000000000000000005555031824CC53014025733561620000000
2100000000028401012022202213745452149                                                       Roberta Barbosa3112196900000000284                                                      Joana dos Santos01000917.68030502202431122024000000000000000000009999078289CD39143529728715910000000
2100000000028501012022202215731962139                                                       Roberta Barbosa3112196900000000285                                                      Joana dos Santos01000493.90080502202431122024000000000000000000000000968566CC24485034346959530000000
2100000000028601012022202269726005736                                                       Carlos Fabrício3112196900000000286                                                      Joana dos Santos01001209.68050502202431122024000000000000000000005555823226CC37750528450113320000000
2100000000028701012022202284419393197                                                     Cristiano Ronaldo3112196900000000287                                                        Josefa Pereira01000443.95080502202431122024000000000000000000000000963496PP72191047778634020000000
2100000000028801012022202229519183396                                                      Victor Czarnobay3112196900000000288                                                        Maria da Silva01000970.96090502202431122024000000000000000000000000541859PP85137845104010030000000
2100000000028901012022202223678498204                                                     Cristiano Ronaldo3112196900000000289                                                       Roberta Barbosa01000005.66120502202431122024000000000000000000000000589338PP23189682976059610000000
2100000000029001012022202289097934615                                                      Joana dos Santos3112196900000000290                                                        Josefa Pereira01000000.02110502202431122024000000000000000000000000524262CC69789812127896410000000
2100000000029101012022202216928213462                                                     Cristiano Ronaldo3112196900000000291                                                       Roberta Barbosa01000168.56120502202431122024000000000000000000009999495594PP11523602333924130000000
2100000000029201012022202235623888730                                                        Josefa Pereira3112196900000000292                                                      Joana dos Santos01000132.04100502202431122024000000000000000000000000533070CD58623945536936830000000
2100000000029301012022202224852224862                                                          Alan Barbosa3112196900000000293                                                        Maria da Silva01000607.82080502202431122024000000000000000000005555369721CC17727769793562820000000
2100000000029401012022202252307062060                                                     Cristiano Ronaldo3112196900000000294                                                      Joana dos Santos01000514.00080502202431122024000000000000000000009999380112CC32729066469070220000000
2100000000029501012022202253797012074                                                     Cristiano Ronaldo3112196900000000295                                                      Joana dos Santos01000342.65090502202431122024000000000000000000005555284531CC49875918628781210000000
2100000000029601012022202273943949976                                                       Roberta Barbosa3112196900000000296                                                       Roberta Barbosa01000011.91050502202431122024000000000000000000005555611998PP47216197622937330000000
2100000000029701012022202249235589311                                                       Roberta Barbosa3112196900000000297                                                        Josefa Pereira01000820.75010502202431122024000000000000000000005555182037CD57112944010998230000000
2100000000029801012022202228596306114                                                          Alan Barbosa3112196900000000298                                                       Roberta Barbosa01000230.55050502202431122024000000000000000000005555872823CC51673292025053020000000
2100000000029901012022202248121612692                                                        Pedro Monteiro3112196900000000299                                                       Roberta Barbosa01000659.17110502202431122024000000000000000000000000820248PP55126134817922330000000
2100000000030001012022202256509837457                                                        Josefa Pereira3112196900000000300                                                      Joana dos Santos01000261.96010502202431122024000000000000000000005555988065CD91664299696357010000000
2100000000030101012022202290895962941                                                       Roberta Barbosa3112196900000000301                                                        Josefa Pereira01000962.53050502202431122024000000000000000000005555123728CC21634485096913010000000
2100000000030201012022202294517465377                                                        Maria da Silva3112196900000000302                                                      Joana dos Santos01000983.88030502202431122024000000000000000000005555680178CD08144200121894730000000
2100000000030301012022202263905121195                                                        Maria da Silva3112196900000000303                                                        Josefa Pereira01000971.60070502202431122024000000000000000000000000662881CD44384987140908110000000
2100000000030401012022202261022247178                                                     Cristiano Ronaldo3112196900000000304                                                        Maria da Silva01000007.51040502202431122024000000000000000000000000245674PP15100156920420430000000
2100000000030501012022202232060889093                                                        Maria da Silva3112196900000000305                                                        Maria da Silva01000947.50120502202431122024000000000000000000000000039210CC15631785544443620000000
2100000000030601012022202281787437871                                                      Victor Czarnobay3112196900000000306                                                       Roberta Barbosa01000852.36110502202431122024000000000000000000009999622665CC87309365035021510000000
2100000000030701012022202299276951197                                                      Joana dos Santos3112196900000000307                                                        Josefa Pereira01000260.56020502202431122024000000000000000000000000738984PP62241486572799930000000
2100000000030801012022202266355783876                                                      Victor Czarnobay3112196900000000308                                                       Roberta Barbosa01000693.16120502202431122024000000000000000000005555132150PP56960971666276230000000
2100000000030901012022202265722549487                                                      Victor Czarnobay3112196900000000309                                                      Joana dos Santos01001060.17020502202431122024000000000000000000009999276254PP16925842544900420000000
2100000000031001012022202227304705627                                                      Victor Czarnobay3112196900000000310                                                        Maria da Silva01001136.77040502202431122024000000000000000000009999948872CC61856377090363730000000
2100000000031101012022202225680474504                                                        Josefa Pereira3112196900000000311                                                      Joana dos Santos01001024.09010502202431122024000000000000000000000000561217CD01894297664153130000000
2100000000031201012022202203978880316                                                        Maria da Silva3112196900000000312                                                        Josefa Pereira01000393.37040502202431122024000000000000000000005555169543CD34841851465742920000000
2100000000031301012022202221295311714                                                        Josefa Pereira3112196900000000313                                                        Maria da Silva01000085.07050502202431122024000000000000000000005555616590CD99545628676058220000000
2100000000031401012022202267201060435                                                        Maria da Silva3112196900000000314                                                        Maria da Silva01001111.25070502202431122024000000000000000000005555625830CC32648305444168910000000
2100000000031501012022202279166050520                                                        Pedro Monteiro3112196900000000315                                                        Josefa Pereira01001209.39010502202431122024000000000000000000005555074552PP06491276314164410000000
2100000000031601012022202277075100883                                                     Cristiano Ronaldo3112196900000000316                                                      Joana dos Santos01000159.45020502202431122024000000000000000000005555330229CC49075695350823630000000
2100000000031701012022202273624598923                                                        Maria da Silva3112196900000000317                                                      Joana dos Santos01000781.49120502202431122024000000000000000000000000702357PP71890454026638620000000
2100000000031801012022202236817300803                                                      Victor Czarnobay3112196900000000318                                                        Josefa Pereira01001106.89100502202431122024000000000000000000000000430859CC84035885864933130000000
2100000000031901012022202294655125011                                                       Carlos Fabrício3112196900000000319                                                        Maria da Silva01000440.75090502202431122024000000000000000000005555752274CC27397525473705720000000
2100000000032001012022202218188040936                                                      Victor Czarnobay3112196900000000320                                                        Josefa Pereira01000800.68120502202431122024000000000000000000005555092873CC88348076485571410000000
2100000000032101012022202280234335797                                                       Carlos Fabrício3112196900000000321                                                       Roberta Barbosa01000893.68050502202431122024000000000000000000009999878000CC87089429463973520000000
2100000000032201012022202222079415709                                                        Josefa Pereira3112196900000000322                                                       Roberta Barbosa01001009.49020502202431122024000000000000000000005555343804PP81886222897222120000000
2100000000032301012022202256910044284                                                      Joana dos Santos3112196900000000323                                                        Maria da Silva01000444.72120502202431122024000000000000000000009999333496CD08330574148765610000000
2100000000032401012022202263534150595                                                        Josefa Pereira3112196900000000324                                                      Joana dos Santos01001188.59090502202431122024000000000000000000005555050429PP70471433114277510000000
2100000000032501012022202260029047022                                                      Joana dos Santos3112196900000000325                                                       Roberta Barbosa01000149.05040502202431122024000000000000000000009999666241PP00461464275986720000000
2100000000032601012022202211048683981                                                        Pedro Monteiro3112196900000000326                                                        Maria da Silva01000677.76030502202431122024000000000000000000005555454809CC08136271211801630000000
2100000000032701012022202243301959827                                                        Pedro Monteiro3112196900000000327                                                        Maria da Silva01000211.79100502202431122024000000000000000000009999078078PP00405310773590710000000
2100000000032801012022202299197542316                                                       Roberta Barbosa3112196900000000328                                                      Joana dos Santos01000697.26050502202431122024000000000000000000005555445976PP72847536339523830000000
2100000000032901012022202242510010741                                                        Josefa Pereira3112196900000000329                                                        Maria da Silva01000566.21100502202431122024000000000000000000000000053325PP49268712637996710000000
2100000000033001012022202217804108561                                                        Pedro Monteiro3112196900000000330                                                        Maria da Silva01000602.25030502202431122024000000000000000000009999214089PP29989526086852130000000
2100000000033101012022202277918993814                                                          Alan Barbosa3112196900000000331                                                        Josefa Pereira01000582.05010502202431122024000000000000000000000000670072PP89604108047401820000000
2100000000033201012022202298673742137                                                        Pedro Monteiro3112196900000000332                                                      Joana dos Santos01000909.53110502202431122024000000000000000000005555360912CD04813148200814620000000
2100000000033301012022202210975403946                                                        Maria da Silva3112196900000000333                                                        Josefa Pereira01000189.37010502202431122024000000000000000000000000556874PP49101717891474110000000
2100000000033401012022202290983350795                                                          Alan Barbosa3112196900000000334                                                       Roberta Barbosa01000934.80110502202431122024000000000000000000000000216672PP78587450921917310000000
2100000000033501012022202287718529528                                                     Cristiano Ronaldo3112196900000000335                                                       Roberta Barbosa01000117.79080502202431122024000000000000000000005555990099CC00777946378054830000000
2100000000033601012022202298619828031                                                     Cristiano Ronaldo3112196900000000336                                                        Josefa Pereira01000343.58040502202431122024000000000000000000005555776324CC79814655483646520000000
2100000000033701012022202222977325090                                                        Maria da Silva3112196900000000337                                                        Josefa Pereira01000876.00010502202431122024000000000000000000005555717606CC93840173505481430000000
2100000000033801012022202246854030081                                                        Josefa Pereira3112196900000000338                                                       Roberta Barbosa01000207.51040502202431122024000000000000000000005555422199CC46002156441157720000000
2100000000033901012022202248233945797                                                     Cristiano Ronaldo3112196900000000339                                                      Joana dos Santos01000379.07010502202431122024000000000000000000000000666039CC81924095294043220000000
2100000000034001012022202298198859256                                                      Joana dos Santos3112196900000000340                                                        Josefa Pereira01000425.32110502202431122024000000000000000000005555196106CD18531115596697010000000
2100000000034101012022202277956203713                                                     Cristiano Ronaldo3112196900000000341                                                        Maria da Silva01000140.24060502202431122024000000000000000000009999757579CC32998437732265820000000
2100000000034201012022202260307379619                                                      Joana dos Santos3112196900000000342                                                        Maria da Silva01000569.92060502202431122024000000000000000000000000465667CC43315958898484720000000
2100000000034301012022202294731643150                                                      Joana dos Santos3112196900000000343                                                       Roberta Barbosa01000333.44070502202431122024000000000000000000009999407292PP34373639575861630000000
2100000000034401012022202218791059728                                                        Pedro Monteiro3112196900000000344                                                        Josefa Pereira01000070.91040502202431122024000000000000000000005555933198CC82529880027778510000000
2100000000034501012022202262233736249                                                        Maria da Silva3112196900000000345                                                        Josefa Pereira01000303.23110502202431122024000000000000000000009999899866PP38842876526693010000000
